0	0	-43,082904681944
1	1	-32,854204091064
2	2	-27,180428417249
3	3	-23,731682028832
4	4	-21,26234988768
5	5	-19,340952567624
6	6	-17,769477568799
7	7	-16,440867229308
8	8	-15,290745689456
9	9	-14,277401767805
10	10	-13,372270597822
11	11	-12,554935840284
12	12	-11,810300254719
13	13	-11,12688606404
14	14	-10,495763881014
15	15	-9,9098504977048
16	16	-9,3634329402726
17	17	-8,851836606046
18	18	-8,3711881340472
19	19	-7,9182423130123
20	20	-7,4902533395571
21	21	-7,0848774558804
22	22	-6,7000982160744
23	23	-6,3341683506649
24	24	-5,985563994093
25	25	-5,6529482491903
26	26	-5,3351418928705
27	27	-5,0310996069732
28	28	-4,7398905293439
29	29	-4,4606822160457
30	30	-4,1927273212173
31	31	-3,935352460188
32	32	-3,6879488401675
33	33	-3,4499643323247
34	34	-3,2208967272059
35	35	-3,0002879677813
36	36	-2,7877191949621
37	37	-2,5828064720919
38	38	-2,3851970798316
39	39	-2,194566292593
40	40	-2,0106145634181
41	41	-1,8330650568325
42	42	-1,6616614794031
43	43	-1,4961661660043
44	44	-1,3363583865596
45	45	-1,1820328435632
46	46	-1,032998335259
47	47	-0,88907656313231
48	48	-0,75010106552208
49	49	-0,6159162617805
50	50	-0,48637659361711
51	51	-0,36134575211345
52	52	-0,24069598046301
53	53	-0,12430744381769
54	54	-0,012067658751802
55	55	0,096129024181871
56	56	0,20038189050493
57	57	0,30078428946707
58	58	0,39742402368363
59	59	0,49038370461274
60	60	0,57974107727214
61	61	0,66556931719999
62	62	0,7479373023192
63	63	0,82690986206446
64	64	0,90254800586812
65	65	0,97490913287067
66	66	1,0440472245188
67	67	1,1100130215358
68	68	1,1728541865915
69	69	1,2326154538593
70	70	1,2893387665249
71	71	1,3430634032004
72	72	1,3938260941012
73	73	1,4416611277535
74	74	1,4866004489242
75	75	1,5286737483931
76	76	1,5679085451254
77	77	1,6043302613438
78	78	1,6379622909506
79	79	1,6688260617005
80	80	1,6969410914833
81	81	1,722325039038
82	82	1,7449937493821
83	83	1,764961294207
84	84	1,7822400074623
85	85	1,7968405163197
86	86	1,8087717676837
87	87	1,8180410503896
88	88	1,8246540132055
89	89	1,8286146787332
90	90	1,8299255684778
91	91	1,8285872679059
92	92	1,8245990597664
93	93	1,8179585210729
94	94	1,8086616124634
95	95	1,7967026682868
96	96	1,7820743826596
97	97	1,7647677914211
98	98	1,744772249891
99	99	1,7220754063142
100	100	1,6966631708488
101	101	1,6685196799343
102	102	1,6376272558442
103	103	1,603966361204
104	104	1,5675155482205
105	105	1,5282514023404
106	106	1,4861484800137
107	107	1,4411792402061
108	108	1,3933139692551
109	109	1,3425206986213
110	110	1,2887651150351
111	111	1,2320104624791
112	112	1,1722174353859
113	113	1,1093440623599
114	114	1,043345579652
115	115	0,97417429353232
116	116	0,90177943060183
117	117	0,82610697498146
118	118	0,74709949118665
119	119	0,66469593136001
120	120	0,57883142537527
121	121	0,48943705214764
122	122	0,39643959028248
123	123	0,29976124596368
124	124	0,1993193557196
125	125	0,095026061403913
126	126	-0,013212045617277
127	127	-0,12549431447584
128	128	-0,24192646287105
129	129	-0,36262104758628
130	130	-0,48769798245219
131	131	-0,61728510946497
132	132	-0,75151882959452
133	133	-0,89054480078228
134	134	-1,03451871176
135	135	-1,1836071416502
136	136	-1,3379885168784
137	137	-1,4978541787836
138	138	-1,6634095775216
139	139	-1,8348756104865
140	140	-2,0124901266274
141	141	-2,1965096218294
142	142	-2,3872111551025
143	143	-2,5848945208787
144	144	-2,7898847194869
145	145	-3,0025347761725
146	146	-3,22322896925
147	147	-3,4523865406372
148	148	-3,6904659777972
149	149	-3,9379699759001
150	150	-4,1954512139873
151	151	-4,4635191106698
152	152	-4,7428477655436
153	153	-5,0341853449909
154	154	-5,3383652393554
155	155	-5,6563194082392
156	156	-5,9890944497265
157	157	-6,3378710889254
158	158	-6,7039879975379
159	159	-7,0889711529588
160	160	-7,4945703579945
161	161	-7,9228051241077
162	162	-8,3760229544312
163	163	-8,8569742769615
164	164	-9,3689100809691
165	165	-9,9157110422552
166	166	-10,50206116231
167	167	-11,13368569651
168	168	-11,817684213313
169	169	-12,563008384766
170	170	-13,381167142592
171	171	-14,287302646085
172	172	-15,301898448462
173	173	-16,453624682901
174	174	-17,784367123858
175	175	-19,358813567941
176	176	-21,284637893096
177	177	-23,76125751494
178	178	-27,224146161874
179	179	-32,935219402118
180	180	-43,080015481169
